n_features= 27
episode: 22800  running reward: -9
episode: 22900  running reward: -10
episode: 23000  running reward: -8
episode: 23100  running reward: -9
episode: 23200  running reward: -11
episode: 23300  running reward: -5
episode: 23400  running reward: -1
episode: 23500  running reward: -4
episode: 23600  running reward: -9
episode: 23700  running reward: -2
episode: 23800  running reward: -3
episode: 23900  running reward: -10
episode: 24000  running reward: -4
episode: 24100  running reward: -4
episode: 24200  running reward: -11
episode: 24300  running reward: -13
episode: 24400  running reward: -9
episode: 24500  running reward: -9
episode: 24600  running reward: -6
episode: 24700  running reward: -3
episode: 24800  running reward: -7
episode: 24900  running reward: -9
episode: 25000  running reward: -6
episode: 25100  running reward: -12
episode: 25200  running reward: -15
episode: 25300  running reward: -9
episode: 25400  running reward: -12
episode: 25500  running reward: -10
episode: 25600  running reward: -6
episode: 25700  running reward: -5
episode: 25800  running reward: -11
episode: 25900  running reward: -11
episode: 26000  running reward: -8
episode: 26100  running reward: -6
episode: 26200  running reward: -9
episode: 26300  running reward: -10
episode: 26400  running reward: -9
episode: 26500  running reward: -9
episode: 26600  running reward: -12
episode: 26700  running reward: -11
episode: 26800  running reward: -7
episode: 26900  running reward: -13
episode: 27000  running reward: -15
episode: 27100  running reward: -11
episode: 27200  running reward: -9
episode: 27300  running reward: -6
episode: 27400  running reward: -9
episode: 27500  running reward: -13
episode: 27600  running reward: -5
episode: 27700  running reward: -7
episode: 27800  running reward: -7
episode: 27900  running reward: -14
episode: 28000  running reward: -6
episode: 28100  running reward: -13
episode: 28200  running reward: -6
episode: 28300  running reward: -10
episode: 28400  running reward: -6
episode: 28500  running reward: -5
episode: 28600  running reward: -4
episode: 28700  running reward: -7
episode: 28800  running reward: -4
episode: 28900  running reward: -11
episode: 29000  running reward: -10
episode: 29100  running reward: -9
episode: 29200  running reward: -3
episode: 29300  running reward: -10
episode: 29400  running reward: -8
episode: 29500  running reward: -9
episode: 29600  running reward: -9
episode: 29700  running reward: -6
episode: 29800  running reward: -11
episode: 29900  running reward: -3
